transaction_id,invoice_id,customer_id,customer_name,store_id,erp_transaction_date,erp_amount,gateway_transaction_id,gateway,payment_transaction_date,payment_amount,payment_difference,bank_transaction_date,bank_amount,bank_difference,bank_status,date_difference_days,entity_match_score,entity_match_confidence,reconciliation_status
TX0000018,INV0000018,CUST006089,Nikhil Verma,STORE234,2026-08-17 00:00:00,46071.1,PG83134661,Gateway_C,2026-08-17 00:00:00,46071.1,0.0,2026-08-17 00:00:00,46071.1,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000019,INV0000019,CUST004939,Amit Reddy,STORE128,2026-08-08 00:00:00,71020.67,PG78407847,Gateway_B,2026-08-08 00:00:00,71020.67,0.0,2026-08-09 00:00:00,71020.67,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000020,INV0000020,CUST001230,Ananya Kapoor,STORE054,2026-08-10 00:00:00,108459.91,PG41523412,Gateway_C,2026-08-10 00:00:00,108459.91,0.0,2026-08-11 00:00:00,108459.91,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000021,INV0000021,CUST001377,Rohan Gupta,STORE215,2026-08-22 00:00:00,62791.25,PG57566786,Gateway_C,2026-08-22 00:00:00,62791.25,0.0,2026-08-22 00:00:00,61128.98,1662.27,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000022,INV0000022,CUST005159,Pooja Joshi,STORE221,2026-08-21 00:00:00,32072.81,PG18254256,Gateway_C,2026-08-21 00:00:00,32072.81,0.0,2026-08-22 00:00:00,32072.81,0.0,SETTLED,0.0,83.64,MEDIUM_CONFIDENCE,MATCHED
TX0000023,INV0000023,CUST004877,Amit Kumar,STORE248,2026-08-30 00:00:00,52745.44,PG89809790,Gateway_C,2026-08-30 00:00:00,52745.44,0.0,2026-08-30 00:00:00,52745.44,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000024,INV0000024,CUST001049,Meera Reddy,STORE060,2026-08-29 00:00:00,91489.32,PG11774510,Gateway_B,2026-08-29 00:00:00,91489.32,0.0,2026-08-30 00:00:00,91489.32,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000025,INV0000025,CUST001349,Priya Mishra,STORE068,2026-08-11 00:00:00,55881.2,PG25357455,Gateway_A,2026-08-11 00:00:00,55881.2,0.0,2026-08-11 00:00:00,55881.2,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000026,INV0000026,CUST002008,Karan Kapoor,STORE035,2026-08-10 00:00:00,9431.78,PG81710775,Gateway_C,2026-08-10 00:00:00,9431.78,0.0,2026-08-12 00:00:00,9431.78,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000027,INV0000027,CUST005257,Ananya Reddy,STORE131,2026-08-09 00:00:00,44853.15,PG63925308,Gateway_A,2026-08-09 00:00:00,44853.15,0.0,2026-08-11 00:00:00,44853.15,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000028,INV0000028,CUST000040,Nikhil Sharma,STORE228,2026-08-28 00:00:00,4356.47,PG84142785,Gateway_B,2026-08-28 00:00:00,4356.47,0.0,2026-08-29 00:00:00,4356.47,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000029,INV0000029,CUST000313,Arjun Mehta,STORE105,2026-08-29 00:00:00,19966.98,PG28342551,Gateway_A,2026-08-29 00:00:00,19966.98,0.0,2026-08-31 00:00:00,19966.98,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000030,INV0000030,CUST007620,Vikram Kapoor,STORE069,2026-08-01 00:00:00,39177.78,PG70834573,Gateway_B,2026-08-01 00:00:00,39177.78,0.0,2026-08-03 00:00:00,39177.78,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000031,INV0000031,CUST001496,Aditya Das,STORE096,2026-08-06 00:00:00,90393.24,PG59190960,Gateway_B,2026-08-06 00:00:00,90393.24,0.0,2026-08-07 00:00:00,90393.24,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000032,INV0000032,CUST005913,Neha Singh,STORE167,2026-08-31 00:00:00,47731.81,PG66297047,Gateway_A,2026-08-31 00:00:00,47731.81,0.0,2026-09-01 00:00:00,47731.81,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000033,INV0000033,CUST008748,Vikram Mehta,STORE248,2026-08-19 00:00:00,87895.63,PG81592480,Gateway_A,2026-08-19 00:00:00,59417.62,28478.01,2026-08-19 00:00:00,87895.63,-28478.01,SETTLED,0.0,80.0,MEDIUM_CONFIDENCE,PARTIAL_PAYMENT
TX0000034,INV0000034,CUST005470,Priya Iyer,STORE024,2026-08-24 00:00:00,104956.73,PG81145792,Gateway_A,2026-08-24 00:00:00,104956.73,0.0,2026-08-25 00:00:00,104956.73,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000035,INV0000035,CUST007411,Priya Reddy,STORE132,2026-08-09 00:00:00,40324.54,PG70481778,Gateway_C,2026-08-09 00:00:00,40324.54,0.0,2026-08-09 00:00:00,40324.54,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000036,INV0000036,CUST004209,Arjun Das,STORE107,2026-08-18 00:00:00,1612.85,PG92432631,Gateway_B,2026-08-18 00:00:00,1612.85,0.0,2026-08-18 00:00:00,1612.85,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000037,INV0000037,CUST001245,Vikram Sharma,STORE124,2026-08-19 00:00:00,98291.4,PG31529950,Gateway_C,2026-08-19 00:00:00,98291.4,0.0,2026-08-21 00:00:00,98291.4,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000038,INV0000038,CUST003638,Arjun Iyer,STORE053,2026-08-19 00:00:00,40201.3,PG65332480,Gateway_C,2026-08-19 00:00:00,23820.78,16380.52,2026-08-19 00:00:00,40201.3,-16380.52,SETTLED,0.0,80.0,MEDIUM_CONFIDENCE,PARTIAL_PAYMENT
TX0000039,INV0000039,CUST003782,Meera Reddy,STORE236,2026-08-04 00:00:00,44218.1,PG76005961,Gateway_C,2026-08-04 00:00:00,44218.1,0.0,2026-08-06 00:00:00,44218.1,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000040,INV0000040,CUST009916,Pooja Sharma,STORE084,2026-08-04 00:00:00,30073.94,,,,,,,,,MISSING_SETTLEMENT,,0.0,NO_MATCH,MISSING_PAYMENT
TX0000041,INV0000041,CUST002354,Nikhil Kapoor,STORE243,2026-08-14 00:00:00,14297.09,PG26188572,Gateway_A,2026-08-14 00:00:00,14297.09,0.0,2026-08-14 00:00:00,14297.09,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000042,INV0000042,CUST002458,Amit Mishra,STORE170,2026-08-04 00:00:00,45926.07,PG27473985,Gateway_C,2026-08-04 00:00:00,45926.07,0.0,2026-08-04 00:00:00,45926.07,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000043,INV0000043,CUST008432,Ananya Mishra,STORE051,2026-08-26 00:00:00,88166.63,PG80305072,Gateway_B,2026-08-26 00:00:00,88166.63,0.0,2026-08-27 00:00:00,88166.63,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000044,INV0000044,CUST009968,Neha Gupta,STORE104,2026-08-23 00:00:00,44560.67,PG44001104,Gateway_B,2026-08-23 00:00:00,44560.67,0.0,2026-08-24 00:00:00,44560.67,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000045,INV0000045,CUST000866,Aditya Gupta,STORE126,2026-08-03 00:00:00,15969.1,PG78621534,Gateway_C,2026-08-03 00:00:00,15969.1,0.0,2026-08-04 00:00:00,15969.1,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000046,INV0000046,CUST006313,Meera Kumar,STORE081,2026-08-17 00:00:00,80552.4,PG45287945,Gateway_B,2026-08-17 00:00:00,90024.12,-9471.72,2026-08-18 00:00:00,80552.4,9471.72,SETTLED,0.0,80.0,MEDIUM_CONFIDENCE,OVERPAYMENT
TX0000047,INV0000047,CUST004906,Pooja Rao,STORE049,2026-08-01 00:00:00,56364.08,PG94718201,Gateway_B,2026-08-01 00:00:00,56364.08,0.0,2026-08-01 00:00:00,56364.08,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000048,INV0000048,CUST006126,Pooja Rao,STORE127,2026-08-13 00:00:00,85560.86,PG80469937,Gateway_B,2026-08-13 00:00:00,85560.86,0.0,2026-08-14 00:00:00,85560.86,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000049,INV0000049,CUST009601,Amit Mishra,STORE166,2026-08-12 00:00:00,45045.48,PG26514128,Gateway_C,2026-08-12 00:00:00,45045.48,0.0,2026-08-13 00:00:00,45045.48,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000050,INV0000050,CUST009973,Sneha Kapoor,STORE242,2026-08-20 00:00:00,104401.4,PG10397223,Gateway_A,2026-08-20 00:00:00,104401.4,0.0,2026-08-20 00:00:00,104401.4,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000051,INV0000051,CUST004174,Rohan Kumar,STORE162,2026-08-10 00:00:00,53438.51,PG74983729,Gateway_B,2026-08-10 00:00:00,53438.51,0.0,2026-08-10 00:00:00,53438.51,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000052,INV0000052,CUST007498,Ananya Reddy,STORE077,2026-08-10 00:00:00,107251.38,PG54690440,Gateway_A,2026-08-10 00:00:00,107251.38,0.0,2026-08-11 00:00:00,107251.38,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000053,INV0000053,CUST007593,Neha Joshi,STORE072,2026-08-03 00:00:00,58622.19,PG93276170,Gateway_C,2026-08-03 00:00:00,58622.19,0.0,2026-08-03 00:00:00,58622.19,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000054,INV0000054,CUST000597,Karan Kumar,STORE040,2026-08-17 00:00:00,61799.76,PG20279170,Gateway_C,2026-08-17 00:00:00,61799.76,0.0,2026-08-17 00:00:00,61799.76,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000055,INV0000055,CUST008437,Priya Singh,STORE031,2026-08-23 00:00:00,43213.65,PG83135479,Gateway_C,2026-08-23 00:00:00,43213.65,0.0,2026-08-24 00:00:00,43213.65,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000056,INV0000056,CUST008413,Rahul Verma,STORE080,2026-08-02 00:00:00,42533.95,PG44722158,Gateway_C,2026-08-02 00:00:00,42533.95,0.0,2026-08-04 00:00:00,42533.95,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000057,INV0000057,CUST007654,Nikhil Kumar,STORE169,2026-08-22 00:00:00,24335.21,PG50101587,Gateway_C,2026-08-22 00:00:00,24335.21,0.0,2026-08-24 00:00:00,24335.21,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000058,INV0000058,CUST008019,Sneha Mishra,STORE088,2026-08-18 00:00:00,9284.59,PG60365034,Gateway_B,2026-08-16 00:00:00,9284.59,0.0,2026-08-18 00:00:00,9284.59,0.0,SETTLED,-2.0,100.0,HIGH_CONFIDENCE,DATE_MISMATCH
TX0000059,INV0000059,CUST006677,Kavya Kapoor,STORE061,2026-08-06 00:00:00,10876.28,PG17115862,Gateway_C,2026-08-06 00:00:00,10876.28,0.0,2026-08-07 00:00:00,10876.28,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000060,INV0000060,CUST004238,Sneha Verma,STORE111,2026-08-29 00:00:00,7563.59,PG14922124,Gateway_B,2026-08-29 00:00:00,8085.51,-521.92,2026-08-30 00:00:00,7563.59,521.92,SETTLED,0.0,80.0,MEDIUM_CONFIDENCE,OVERPAYMENT
TX0000061,INV0000061,CUST000096,Arjun Nair,STORE166,2026-08-05 00:00:00,92752.67,PG74476645,Gateway_C,2026-08-05 00:00:00,83893.13,8859.54,2026-08-06 00:00:00,92752.67,-8859.54,SETTLED,0.0,80.0,MEDIUM_CONFIDENCE,PARTIAL_PAYMENT
TX0000062,INV0000062,CUST004997,Meera Rao,STORE165,2026-08-23 00:00:00,63328.51,PG26104782,Gateway_B,2026-08-23 00:00:00,63328.51,0.0,2026-08-23 00:00:00,63328.51,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000063,INV0000063,CUST001066,Nikhil Verma,STORE164,2026-08-18 00:00:00,55686.09,PG93441739,Gateway_B,2026-08-18 00:00:00,55686.09,0.0,2026-08-20 00:00:00,55686.09,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000064,INV0000064,CUST004020,Nikhil Kumar,STORE168,2026-08-04 00:00:00,88687.35,PG55129895,Gateway_A,2026-08-04 00:00:00,88687.35,0.0,2026-08-05 00:00:00,88687.35,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000065,INV0000065,CUST009892,Arjun Sharma,STORE153,2026-08-01 00:00:00,21764.25,PG46548798,Gateway_C,2026-08-01 00:00:00,21764.25,0.0,2026-08-02 00:00:00,21764.25,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000066,INV0000066,CUST001162,Priya Singh,STORE139,2026-08-11 00:00:00,78329.55,PG91809931,Gateway_A,2026-08-11 00:00:00,78329.55,0.0,2026-08-13 00:00:00,78329.55,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000067,INV0000067,CUST006042,Sneha Kapoor,STORE238,2026-08-31 00:00:00,88035.31,PG31322720,Gateway_C,2026-08-31 00:00:00,88035.31,0.0,2026-08-31 00:00:00,88035.31,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000068,INV0000068,CUST009586,Amit Reddy,STORE039,2026-08-31 00:00:00,59519.83,PG79680245,Gateway_B,2026-08-31 00:00:00,59519.83,0.0,2026-08-31 00:00:00,59519.83,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000069,INV0000069,CUST000208,Sneha Kumar,STORE188,2026-08-05 00:00:00,1341.83,PG54963915,Gateway_C,2026-08-05 00:00:00,1341.83,0.0,2026-08-06 00:00:00,1341.83,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000070,INV0000070,CUST001706,Ananya Mehta,STORE059,2026-08-11 00:00:00,24760.51,PG36334864,Gateway_B,2026-08-11 00:00:00,24760.51,0.0,2026-08-11 00:00:00,24760.51,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000071,INV0000071,CUST002985,Pooja Joshi,STORE076,2026-08-14 00:00:00,35901.63,PG94104064,Gateway_C,2026-08-14 00:00:00,35901.63,0.0,2026-08-15 00:00:00,35901.63,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000072,INV0000072,CUST004536,Sneha Iyer,STORE121,2026-08-27 00:00:00,12777.29,PG91820628,Gateway_A,2026-08-27 00:00:00,12777.29,0.0,2026-08-28 00:00:00,12777.29,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000073,INV0000073,CUST005075,Kavya Nair,STORE205,2026-08-26 00:00:00,59777.91,PG16783895,Gateway_C,2026-08-26 00:00:00,59777.91,0.0,2026-08-28 00:00:00,59777.91,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000074,INV0000074,CUST007906,Pooja Iyer,STORE092,2026-08-11 00:00:00,64682.48,PG79953928,Gateway_A,2026-08-11 00:00:00,64682.48,0.0,2026-08-11 00:00:00,64682.48,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000075,INV0000075,CUST002349,Meera Kumar,STORE109,2026-08-07 00:00:00,20868.8,PG90835037,Gateway_A,2026-08-07 00:00:00,20868.8,0.0,2026-08-07 00:00:00,20868.8,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000076,INV0000076,CUST008232,Sneha Sharma,STORE039,2026-08-09 00:00:00,5691.17,PG54165253,Gateway_C,2026-08-09 00:00:00,5691.17,0.0,2026-08-09 00:00:00,5691.17,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000077,INV0000077,CUST006139,Rahul Patel,STORE194,2026-08-05 00:00:00,20541.2,PG46809922,Gateway_A,2026-08-05 00:00:00,20541.2,0.0,2026-08-07 00:00:00,20541.2,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000078,INV0000078,CUST003224,Pooja Singh,STORE137,2026-08-24 00:00:00,53181.83,PG91187775,Gateway_B,2026-08-24 00:00:00,53181.83,0.0,2026-08-25 00:00:00,53181.83,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000079,INV0000079,CUST004580,Rohan Joshi,STORE055,2026-08-17 00:00:00,44885.51,PG61711569,Gateway_A,2026-08-17 00:00:00,44885.51,0.0,2026-08-18 00:00:00,44885.51,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000080,INV0000080,CUST002597,Priya Reddy,STORE114,2026-08-19 00:00:00,69636.4,PG95039987,Gateway_C,2026-08-19 00:00:00,69636.4,0.0,2026-08-20 00:00:00,69636.4,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000081,INV0000081,CUST002657,Karan Gupta,STORE178,2026-08-13 00:00:00,30706.53,PG78720294,Gateway_B,2026-08-13 00:00:00,30706.53,0.0,2026-08-14 00:00:00,30706.53,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000082,INV0000082,CUST003770,Sneha Mishra,STORE178,2026-08-05 00:00:00,55436.67,PG36337293,Gateway_C,2026-08-05 00:00:00,55436.67,0.0,2026-08-07 00:00:00,55436.67,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000083,INV0000083,CUST000080,Rahul Verma,STORE225,2026-08-18 00:00:00,16178.04,PG62995190,Gateway_C,2026-08-18 00:00:00,16178.04,0.0,2026-08-20 00:00:00,16178.04,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000084,INV0000084,CUST009252,Priya Patel,STORE120,2026-08-05 00:00:00,16771.25,PG14650309,Gateway_A,2026-08-05 00:00:00,16771.25,0.0,2026-08-05 00:00:00,16771.25,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000085,INV0000085,CUST000252,Kavya Mishra,STORE091,2026-08-28 00:00:00,103613.47,PG76805916,Gateway_C,2026-08-28 00:00:00,103613.47,0.0,2026-08-28 00:00:00,103613.47,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000086,INV0000086,CUST007055,Sneha Verma,STORE085,2026-08-26 00:00:00,67069.09,PG28951057,Gateway_A,2026-08-26 00:00:00,67069.09,0.0,2026-08-27 00:00:00,67069.09,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000087,INV0000087,CUST000770,Amit Kapoor,STORE034,2026-08-28 00:00:00,17991.19,PG77734051,Gateway_A,2026-08-28 00:00:00,17991.19,0.0,2026-08-30 00:00:00,17991.19,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000088,INV0000088,CUST003706,Ananya Das,STORE059,2026-08-23 00:00:00,33307.86,PG33591082,Gateway_C,2026-08-23 00:00:00,33307.86,0.0,2026-08-24 00:00:00,33307.86,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000089,INV0000089,CUST003945,Neha Nair,STORE183,2026-08-31 00:00:00,11053.6,PG25590794,Gateway_B,2026-08-31 00:00:00,11053.6,0.0,2026-08-31 00:00:00,11053.6,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000090,INV0000090,CUST001177,Sneha Gupta,STORE004,2026-08-04 00:00:00,78235.17,PG11408198,Gateway_B,2026-08-04 00:00:00,78235.17,0.0,2026-08-05 00:00:00,78235.17,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000091,INV0000091,CUST002529,Nikhil Kapoor,STORE226,2026-08-13 00:00:00,101318.81,PG10322226,Gateway_B,2026-08-13 00:00:00,95128.35,6190.46,2026-08-13 00:00:00,101318.81,-6190.46,SETTLED,0.0,80.0,MEDIUM_CONFIDENCE,PARTIAL_PAYMENT
TX0000092,INV0000092,CUST007785,Ananya Verma,STORE129,2026-08-20 00:00:00,62497.77,PG84083892,Gateway_A,2026-08-20 00:00:00,62497.77,0.0,2026-08-21 00:00:00,62497.77,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000093,INV0000093,CUST002969,Karan Iyer,STORE046,2026-08-29 00:00:00,17291.7,PG25047987,Gateway_A,2026-08-29 00:00:00,17291.7,0.0,2026-08-31 00:00:00,17291.7,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000094,INV0000094,CUST005858,Kavya Gupta,STORE086,2026-08-09 00:00:00,84482.71,PG72827164,Gateway_B,2026-08-09 00:00:00,84482.71,0.0,2026-08-09 00:00:00,84482.71,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000095,INV0000095,CUST002879,Rohan Sharma,STORE056,2026-08-11 00:00:00,114342.45,PG16844691,Gateway_A,2026-08-11 00:00:00,114342.45,0.0,2026-08-13 00:00:00,114342.45,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000096,INV0000096,CUST005652,Arjun Mishra,STORE081,2026-08-19 00:00:00,46921.44,PG97670903,Gateway_B,2026-08-19 00:00:00,46921.44,0.0,2026-08-20 00:00:00,46921.44,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
TX0000097,INV0000097,CUST009758,Rahul Rao,STORE245,2026-08-25 00:00:00,28351.35,PG18973597,Gateway_B,2026-08-25 00:00:00,28351.35,0.0,2026-08-26 00:00:00,28351.35,0.0,SETTLED,0.0,100.0,HIGH_CONFIDENCE,MATCHED
